Number,Genus,Scientific Name,Common Name,Family,Type,Form,iTree Code,Carbon Category,EcoSystem,Te Score
226,L,Leptospermum laevigatum,Australian Tea Tree,Myrtaceae,NATIVE,Evergreen,LELA1,Native Hardwoods,Climate Suited,6
227,L,Leptospermum petersonii,Lemon scented tea tree,Myrtaceae,NATIVE,Evergreen,LEPE,Native Hardwoods,Climate Suited,6
228,L,Ligustrum lucidum,Large Leaved Privet,Oleaceae,EXOTIC,Evergreen,LILU,Exotic Hardwoods,Weed,0
229,L,Ligustrum sinense,Small Leaved Privet,Oleaceae,EXOTIC,Evergreen,LISI,Exotic Hardwoods,Weed,0
230,L,Liquidambar styraciflua,Liquidambar,Altingiaceae,EXOTIC,Deciduous,LIST,Exotic Hardwoods,Climate Suited,6
231,L,Liriodendron tulipifera,Tulip tree,Magnoliaceae,EXOTIC,Deciduous,LITU,Exotic Hardwoods,Cimate Unsuited,4
232,L,Liriodendron tulipifera 'Fastigata',Fastigiate Tulip Tree,Magnoliaceae,EXOTIC,Deciduous,LITU,Exotic Hardwoods,-,0
233,L,Livistona australis,Cabbage Tree Palm,Arecaceae,NATIVE,Evergreen,LIAU,Palms,Climate Suited,6
234,L,Livistona chinensis,Chinese Fan Palm,Arecaceae,EXOTIC,Evergreen,LICH,Palms,Climate Suited,6
235,M,M,N/A,0,0,0,N/A,-,-,0
236,M,Macadamia integrifolia,Macadamia,Proteaceae,NATIVE,Evergreen,MAIN8,Native Hardwoods,Climate Suited,6
237,M,Macadamia tetraphylla,Macadamia,Proteaceae,NATIVE,Evergreen,MATE,Native Hardwoods,-,0
238,M,Macrozamia communis,Burrawang,Zamiaceae,NATIVE,Evergreen,MACO1,Palms,Climate Suited,6
239,M,Magnolia grandiflora,Magnolia,Magnoliaceae,EXOTIC,Evergreen,MAGR,Exotic Hardwoods,Climate Suited,6
240,M,Magnolia grandiflora 'Exmouth',Bull Bay Magnolia,Magnoliaceae,EXOTIC,Evergreen,MAGR,Exotic Hardwoods,-,0
241,M,Magnolia grandiflora 'Little Gem',Dwarf Magnolia,Magnoliaceae,EXOTIC,Evergreen,MAGR,Exotic Hardwoods,-,0
242,M,Magnolia x soulangeana,Magnolia,Magnoliaceae,EXOTIC,Deciduous,MASO,Exotic Hardwoods,-,0
243,M,Malus sp.,Apple,Rosaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
244,M,Mangifera indica,Mango,Anacardiaceae,EXOTIC,Evergreen,MAIN,Exotic Hardwoods,-,0
245,M,Melaleuca armillaris,Bracelet honey myrtle,Myrtaceae,NATIVE,Evergreen,MEAR,Native Hardwoods,Climate Suited,6
246,M,Melaleuca bracteata,Black Tea-tree,Myrtaceae,NATIVE,Evergreen,MEBR,Native Hardwoods,Climate Suited,6
247,M,Melaleuca decora,White feather honey myrtle,Myrtaceae,NATIVE,Evergreen,MEDE1,Native Hardwoods,Indigenous,6
248,M,Melaleuca decussata,Cross-leaf Honey-myrtle,Myrtaceae,NATIVE,Evergreen,MEDE,Native Hardwoods,Cimate Unsuited,4
249,M,Melaleuca linariifolia,Narrow leaf paperbark,Myrtaceae,NATIVE,Evergreen,MELI7,Native Hardwoods,Indigenous,6
250,M,Melaleuca nesophila,Showy Honey-myrtle,Myrtaceae,NATIVE,Evergreen,MENE,Native Hardwoods,Cimate Unsuited,4
251,M,Melaleuca sp.,Paperbark,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
252,M,Melaleuca styphelioides,Prickley- leafed paperbark,Myrtaceae,NATIVE,Evergreen,MEST,Native Hardwoods,Indigenous,6
253,M,Melia azadarach,White cedar,Meliaceae,NATIVE,Deciduous,MEAZ,Native Hardwoods,Climate Suited,6
254,M,Metrosideros excelsa,New Zealand Christmas Tree,Myrtaceae,EXOTIC,Evergreen,MEEX,Exotic Hardwoods,Cimate Unsuited,4
255,M,Metrosideros thomasii,New Zealand Christmas Bush,Myrtaceae,EXOTIC,Evergreen,MEEX,Exotic Hardwoods,-,0
256,M,Michelia figo,Port Wine Magnolia,Magnoliaceae,EXOTIC,Evergreen,MIFI,Exotic Hardwoods,-,0
257,M,Morus nigra,Mulberry,Moraceae,EXOTIC,Deciduous,MONI,Exotic Hardwoods,Climate Suited,6
258,M,Murraya paniculata,Orange Jessamine,Rutaceae,EXOTIC,Evergreen,MUPA1,Exotic Hardwoods,Climate Suited,6
259,N,N,N/A,0,0,0,N/A,-,-,0
260,N,Nerium oleander,Oleander,Apocynoideae,EXOTIC,Evergreen,NEOL,Exotic Hardwoods,Cimate Unsuited,4
261,N,Nyssa sylvatica,Tupelo,Nyssaceae,EXOTIC,Deciduous,NYSY,Exotic Hardwoods,Cimate Unsuited,4
262,O,O,N/A,0,0,0,N/A,-,-,0
263,O,Olea africana,African Olive,Oleaceae,EXOTIC,Evergreen,OLEUAF,Exotic Hardwoods,Weed,0
264,O,Olea europaea,European Olive,Oleaceae,EXOTIC,Evergreen,OLEU,Exotic Hardwoods,Cimate Unsuited,0
265,O,Other species (Exotic & Deciduous),Other species (Exotic & Deciduous),N/A,EXOTIC,Deciduous,-,-,-,0
266,O,Other species (Exotic & Evergreen),Other species (Exotic & Evergreen),N/A,EXOTIC,Evergreen,-,-,-,0
267,O,Other species (Native & Deciduous),Other species (Native & Deciduous),N/A,NATIVE,Deciduous,-,-,-,0
268,O,Other species (Native & Evergreen),Other species (Native & Evergreen),N/A,NATIVE,Evergreen,-,-,-,0
269,P,P,N/A,0,0,0,N/A,-,-,0
270,P,Palm sp. (Exotic),Palm sp. (Exotic),Arecaceae,EXOTIC,Evergreen,-,Palms,-,0
271,P,Palm sp. (Native),Palm sp. (Native),Arecaceae,NATIVE,Evergreen,-,Palms,-,0
272,P,Persea americana,Avocado,Lauraceae,EXOTIC,Evergreen,PEAM,Exotic Hardwoods,-,0
273,P,Phoenix canariensis,Canary Island Date Palm,Arecaceae,EXOTIC,Evergreen,PHCA,Palms,Climate Suited,6
274,P,Phoenix dactylifera,Date Palm,Arecaceae,EXOTIC,Evergreen,PHDA4,Palms,Climate Suited,6
275,P,Phoenix roebelenii,Pygmy Date Palm,Arecaceae,EXOTIC,Evergreen,PHRO,Palms,Climate Suited,6
276,P,Photinia glabra 'Rubens',Small Leaved Photinia,Rosaceae,EXOTIC,Evergreen,PHGL,Exotic Hardwoods,-,0
277,P,Photinia robusta,Christmas Berry,Amygdaloideae,EXOTIC,Evergreen,PHFR,Exotic Hardwoods,-,0
278,P,Photinia serratifolia,Taiwanese Photinia,Rosaceae,EXOTIC,Evergreen,PHSE,Exotic Hardwoods,Climate Suited,6
279,P,Photinia serrulata,Christmas Berry,Rosaceae,EXOTIC,Evergreen,PHSE1,Exotic Hardwoods,-,0
280,P,Photinia x fraseri 'Robusta',Christmas Berry,Rosaceae,EXOTIC,Evergreen,PHFR,Exotic Hardwoods,-,0
281,P,Pinus halepensis,Aleppo pine,Pinaceae,EXOTIC,Evergreen,PIHA,Conifer,-,0
282,P,Pinus patula,Mexican Weeping Pine,Pinaceae,EXOTIC,Evergreen,PIPA4,Conifer,-,0
283,P,Pinus pinea,Italian Stone Pine,Pinaceae,EXOTIC,Evergreen,PIPI2,Conifer,Cimate Unsuited,4
284,P,Pinus radiata,Monterey Pine,Pinaceae,EXOTIC,Evergreen,PIRA,Conifer,Cimate Unsuited,4
285,P,Pinus sp.,Pine,Pinaceae,EXOTIC,Evergreen,-,Conifer,-,0
