Number,Genus,Scientific Name,Common Name,Family,Type,Form,iTree Code,Carbon Category,EcoSystem,Te Score
18,A,Acacia parramattensis,Parramatta Wattle,Fabaceae,NATIVE,Evergreen,ACPA81,Native Hardwoods,Indigenous,6
19,A,Acacia podalyriifolia,Queensland Silver Wattle,Fabaceae,NATIVE,Evergreen,ACPO2,Native Hardwoods,Climate Suited,6
20,A,Acacia sp. (Exotic & Deciduous),Wattle,Fabaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
21,A,Acacia sp. (Exotic & Evergreen),Wattle,Fabaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,-,0
22,A,Acacia sp. (Native & Deciduous),Wattle,Fabaceae,NATIVE,Deciduous,-,Native Hardwoods,-,0
23,A,Acacia sp. (Native & Evergreen),Wattle,Fabaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
24,A,Acer buergerianum,Trident Maple,Aceraceae,EXOTIC,Deciduous,ACBU,Exotic Hardwoods,Cimate Unsuited,4
25,A,Acer negundo,Box Elder,Sapindaceae,EXOTIC,Deciduous,ACNE,Exotic Hardwoods,Climate Suited,6
26,A,Acer negundo 'Variegatum',Variegated Box Elder,Sapindaceae,EXOTIC,Deciduous,ACNEN,Exotic Hardwoods,-,0
27,A,Acer palmatum,Japanese maple,Sapindaceae,EXOTIC,Deciduous,ACPA,Exotic Hardwoods,Climate Suited,6
28,A,Acer rubrum,Red maple,Sapindaceae,EXOTIC,Deciduous,ACRU,Exotic Hardwoods,Cimate Unsuited,4
29,A,Acer saccharinum,Sugar Maple,Sapindaceae,EXOTIC,Deciduous,ACSA1,Exotic Hardwoods,Cimate Unsuited,4
30,A,Acer sp.,Maple,Sapindaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
31,A,Acer x freemanii,Autumn Blaze Maple,Sapindaceae,EXOTIC,Deciduous,ACFR,Exotic Hardwoods,-,0
32,A,Acmena smithii,Lilly Pilly,Myrtaceae,NATIVE,Deciduous,EUSM,Native Hardwoods,-,0
33,A,Acmena smithii var. Minor,Dwarf Lilly Pilly,Myrtaceae,NATIVE,Evergreen,EUSM,Native Hardwoods,-,0
34,A,Agathis robusta,Queensland Kauri,Araucariaceae,NATIVE,Evergreen,AGRO,Conifer,Climate Suited,6
35,A,Agonis flexuosa,Willow Myrtle,Myrtaceae,NATIVE,Evergreen,AGFL,Native Hardwoods,Cimate Unsuited,4
36,A,Ailanthus altissima,Tree of Heaven,Simaroubaceae,EXOTIC,Deciduous,AIAL,Exotic Hardwoods,Cimate Unsuited,0
37,A,Albizia julibrissin,Persian Silk Tree,Mimosoideae,EXOTIC,Deciduous,ALJU,Exotic Hardwoods,Cimate Unsuited,4
38,A,Allocasuarina littoralis,Black She-oak,Casuarinaceae,NATIVE,Evergreen,ALLI,Native Hardwoods,Indigenous,6
39,A,Allocasuarina torulosa,Forest Oak,Casuarinaceae,NATIVE,Evergreen,ALTO,Native Hardwoods,Climate Suited,6
40,A,Alnus jorullensis,Evergreen Alder,Betulaceae,EXOTIC,Evergreen,ALIO,Exotic Hardwoods,Cimate Unsuited,4
41,A,Angophora bakeri,Narrow-leaved Apple,Myrtaceae,NATIVE,Evergreen,ANBA,Native Hardwoods,Indigenous,6
42,A,Angophora costata,Sydney Red Gum,Myrtaceae,NATIVE,Evergreen,ANCO,Native Hardwoods,Indigenous,6
43,A,Angophora floribunda,Rough -barked apple,Myrtaceae,NATIVE,Evergreen,ANFL,Native Hardwoods,Indigenous,4
44,A,Angophora hispida,Dwarf Apple,Myrtaceae,NATIVE,Evergreen,ANHI,Native Hardwoods,Cimate Unsuited,4
45,A,Angophora subvelutina,Broad-leaved Apple,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,Indigenous,6
46,A,Araucaria araucana,Monkey Puzzle Tree,Araucariaceae,EXOTIC,Evergreen,ARAR,Conifer,Cimate Unsuited,4
47,A,Araucaria bidwillii,Bunya Pine,Araucariaceae,NATIVE,Evergreen,ARBI,Conifer,Climate Suited,6
48,A,Araucaria columnaris,Cook pine,Araucariaceae,NATIVE,Evergreen,ARCO,Conifer,Climate Suited,6
49,A,Araucaria cunninghamii,Hoop Pine,Araucariaceae,NATIVE,Evergreen,ARCU1,Conifer,Cimate Unsuited,4
50,A,Araucaria heterophylla,Norfolk Island Pine,Araucariaceae,NATIVE,Evergreen,ARHE,Conifer,Climate Suited,6
51,A,Arbutus andrachnoides,Grecian Strawberry Tree,Ericaceae,EXOTIC,Evergreen,ARX,Exotic Hardwoods,Cimate Unsuited,4
52,A,Arbutus unedo,Irish Strawberry Tree,Ericaceae,EXOTIC,Evergreen,ARUN,Exotic Hardwoods,Cimate Unsuited,4
53,A,Archontophoenix alexandrae,Alexandra Palm,Arecaceae,NATIVE,Evergreen,ARAL,Palms,Climate Suited,6
54,A,Archontophoenix cunninghamiana,Bangalow Palm,Arecaceae,NATIVE,Evergreen,ARCU,Palms,Climate Suited,6
55,B,B,N/A,0,0,0,N/A,-,-,0
56,B,Backhousia citriodora,Lemon Scented Myrtle,Myrtaceae,NATIVE,Evergreen,BACI,Native Hardwoods,Climate Suited,6
57,B,Backhousia myrtifolia,Grey Myrtle,Myrtaceae,NATIVE,Evergreen,BAMY,Native Hardwoods,Climate Suited,6
58,B,Banksia integrifolia,Coastal banksia,Proteaceae,NATIVE,Evergreen,BAIN,Native Hardwoods,Indigenous,6
59,B,Banksia serrata,Old Man Banksia,Proteaceae,NATIVE,Evergreen,BASE1,Native Hardwoods,Indigenous,6
60,B,Banksia sp.,Banksia,Proteaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
61,B,Bauhinia galpinii,Orchid Tree,Fabaceae,EXOTIC,Evergreen,BAGA,Exotic Hardwoods,-,0
62,B,Bauhinia x blakeana,Hong Kong orchid tree,Fabaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,-,0
63,B,Betula nigra,Black Birch,Betulaceae,EXOTIC,Deciduous,BENI,Exotic Hardwoods,Cimate Unsuited,4
64,B,Betula pendula,Silver Birch,Betulaceae,EXOTIC,Deciduous,BEPE,Exotic Hardwoods,Cimate Unsuited,4
65,B,Brachychiton acerifolius,Illawarra Flame,Malvaceae,NATIVE,Deciduous,BRAC2,Native Hardwoods,Climate Suited,6
66,B,Brachychiton discolor,Lacebark Tree,Malvaceae,NATIVE,Deciduous,BRDI,Native Hardwoods,Cimate Unsuited,4
67,B,Brachychiton populneus,Kurrajong,Malvaceae,NATIVE,Evergreen,BRPO,Native Hardwoods,Indigenous,6
68,B,Brachychiton rupestris,Bottle Tree,Malvaceae,NATIVE,Deciduous,BRRU,Native Hardwoods,Cimate Unsuited,4
69,B,Buckinghamia celsissima,Ivory Curl Flower,Proteaceae,NATIVE,Evergreen,BUCE,Native Hardwoods,Cimate Unsuited,4
70,B,Butia capitata,Jelly Palm,Arecaceae,EXOTIC,Evergreen,BUCA,Palms,Climate Suited,6
71,C,C,N/A,0,0,0,N/A,-,-,0
72,C,Caesalpina ferrera,Leopard Tree,Fabaceae,EXOTIC,Deciduous,CAFE,Exotic Hardwoods,Cimate Unsuited,4
73,C,Callicoma serratifolia,Black Wattle,Cunoniaceae,NATIVE,Evergreen,CASE,Native Hardwoods,Climate Suited,6
74,C,Callistemon citrinus,Crimson bottlebrush,Myrtaceae,NATIVE,Evergreen,CACI,Native Hardwoods,Cimate Unsuited,4
75,C,Callistemon linearis,Narrow-leaved Bottlebrush,Myrtaceae,NATIVE,Evergreen,CALI1,Native Hardwoods,-,0
76,C,Callistemon salignus,Willow Bottlebrush,Myrtaceae,NATIVE,Evergreen,CASA5,Native Hardwoods,Indigenous,6
77,C,Callistemon sp.,Bottle Brush,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
78,C,Callitris columellaris,White Cypress,Cupressaceae,NATIVE,Evergreen,CACO1,Native Hardwoods,Climate Suited,6
79,C,Callitris rhomboidea,Oyster Bay Pine,Cupressaceae,NATIVE,Evergreen,CARH1,Native Hardwoods,Cimate Unsuited,4
80,C,Calodendron capense,Cape Chestnut,Rutaceae,EXOTIC,Evergreen,CACA3,Exotic Hardwoods,-,0
81,C,Camellia japonica,Japanese Camellia,Theaceae,EXOTIC,Evergreen,CAJA9,Exotic Hardwoods,Cimate Unsuited,4
82,C,Camellia reticulata,Yunnan Camellia,Theaceae,EXOTIC,Evergreen,CARE,Exotic Hardwoods,-,0
83,C,Camellia sasanqua,Sasanqua Camellia,Theaceae,EXOTIC,Evergreen,CASA,Exotic Hardwoods,Climate Suited,6
84,C,Carya illinoiensis,Pecan,Juglandaceae,EXOTIC,Deciduous,CAIL,Exotic Hardwoods,Climate Suited,6
85,C,Cassia sp.,Cassia sp.,Fabaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
86,C,Castanea sativa,Chestnut,Fagaceae,EXOTIC,Deciduous,CASA2,Exotic Hardwoods,Climate Suited,6
87,C,Castanospermum australe,Black Bean,Fabaceae,NATIVE,Evergreen,CAAU,Native Hardwoods,Climate Suited,6
88,C,Casuarina cunninghamiana,River She-oak,Casuarinaceae,NATIVE,Evergreen,CACU,Native Hardwoods,Climate Suited,6
89,C,Casuarina glauca,Swamp She-oak,Casuarinaceae,NATIVE,Evergreen,CAGL11,Native Hardwoods,Indigenous,6
90,C,Cedrus atlantica,Atlas Cedar,Pinaceae,EXOTIC,Evergreen,CEAT,Conifer,Cimate Unsuited,4
91,C,Cedrus deodara,Himalayan Cedar,Pinaceae,EXOTIC,Evergreen,CEDE,Conifer,Cimate Unsuited,4
92,C,Cedrus libani,Cedar Of Lebanon,Pinaceae,EXOTIC,Evergreen,CELI,Conifer,Climate Suited,6
93,C,Celtis australis,Mediterranean hackberry,Cannabaceae,EXOTIC,Deciduous,CEAU,Exotic Hardwoods,Cimate Unsuited,4
94,C,Celtis sinense,Chinese hackberry,Cannabaceae,EXOTIC,Deciduous,CESI4,Exotic Hardwoods,-,0
95,C,Ceratonia siliqua,Carob,Fabaceae,EXOTIC,Evergreen,CESI3,Exotic Hardwoods,Cimate Unsuited,4
96,C,Ceratopetalum apetalum,Coachwood,Cunoniaceae,NATIVE,Evergreen,CEAP,Native Hardwoods,Indigenous,4
97,C,Ceratopetalum gummiferum,NSW Christmas Bush,Cunoniaceae,NATIVE,Evergreen,CEGU,Native Hardwoods,Indigenous,6
98,C,Cercis canadensis,Eastern Rosebud,Fabaceae,EXOTIC,Deciduous,CECA,Exotic Hardwoods,Climate Suited,6
99,C,Chamaecyparis obtusa 'Crippsii',Crips Golden Cypress,Cupressaceae,EXOTIC,Evergreen,CHOB,Conifer,-,0
100,C,Cinnamomum camphora,Camphor laurel,Lauraceae,EXOTIC,Evergreen,CICA,Exotic Hardwoods,-,0
101,C,Citharexylum spinosum,Florida fiddlewood,Verbenaceae,EXOTIC,Evergreen,CISP2,Exotic Hardwoods,Cimate Unsuited,4
102,C,Citrus sp.,"Lemon, Orange Lime etc.",Rutaceae,EXOTIC,Evergreen,-,Exotic Hardwoods,-,0
103,C,Corymbia citriodora,Lemon-scented Gum,Myrtaceae,NATIVE,Evergreen,COCI,Native Hardwoods,Climate Suited,6
104,C,Corymbia eximia,Yellow Bloodwood,Myrtaceae,NATIVE,Evergreen,COEX,Native Hardwoods,Climate Suited,6
105,C,Corymbia ficifolia (grafted stock),Dwarf Red Flowering Gum,Myrtaceae,NATIVE,Evergreen,EUFI81,Native Hardwoods,Climate Suited,6
106,C,Corymbia gummifera,Red Bloodwood,Myrtaceae,NATIVE,Evergreen,EUGU2,Native Hardwoods,Indigenous,6
107,C,Corymbia maculata,Spotted Gum,Myrtaceae,NATIVE,Evergreen,COMA1,Native Hardwoods,Indigenous,6
108,C,Corymbia torelliana,Cadaghi,Myrtaceae,NATIVE,Evergreen,COTO,Native Hardwoods,-,0
109,C,Crataegus monogyna,Hawthorn,Rosaceae,EXOTIC,Deciduous,CROX,Exotic Hardwoods,-,0
110,C,Cupaniopsis anacardioides,Tuckeroo,Sapindaceae,NATIVE,Evergreen,CUAN,Native Hardwoods,Climate Suited,6
111,C,Cupressus macrocarpa,Monterey Cypress,Cupressaceae,EXOTIC,Evergreen,CUMA,Conifer,Cimate Unsuited,4
112,C,Cupressus sempervirens,Italian Cypress,Cupressaceae,EXOTIC,Evergreen,CUSE,Conifer,Climate Suited,6
113,C,Cupressus sp,Cypress Pine,Cupressaceae,EXOTIC,Evergreen,-,Conifer,-,0
114,C,Cupressus torulosa,Himalayan Cypress,Cupressaceae,EXOTIC,Evergreen,CUTO,Exotic Hardwoods,Climate Suited,6
115,C,Cycas sp.,Cycad,Cycadaceae,NATIVE,Evergreen,-,Palms,-,0
116,D,D,N/A,0,0,0,N/A,-,-,0
117,D,Dracaena sp.,Dracaena,Asparagaceae,EXOTIC,Evergreen,-,Palms,-,0
118,D,Dypsis lutescens,Golden Cane Palm,Arecaceae,EXOTIC,Evergreen,CHLU,Palms,Climate Suited,6
119,E,E,N/A,0,0,0,N/A,-,-,0
120,E,Eleaocarpus eumundi,Eumundi Quandong,Elaeocarpaceae,NATIVE,Evergreen,ELEU,Native Hardwoods,Cimate Unsuited,4
121,E,Eleaocarpus reticulatus,Blueberry Ash,Elaeocarpaceae,NATIVE,Evergreen,ELRE,Native Hardwoods,Climate Suited,6
122,E,Eriobotrya japonica,Loquat,Rosaceae,EXOTIC,Evergreen,ERJA,Exotic Hardwoods,-,0
123,E,Erythrina crista-galli,Cockspur Coral Tree,Fabaceae,EXOTIC,Deciduous,ERCR,Exotic Hardwoods,Weed,0
124,E,Erythrina x sykessi,Coral Tree,Fabaceae,EXOTIC,Deciduous,ERX,Exotic Hardwoods,Weed,0
125,E,Eucalyptus acmenoides,White Mahogany,Myrtaceae,NATIVE,Evergreen,EUAC1,Native Hardwoods,-,0
126,E,Eucalyptus amplifolia,Cabbage gum,Myrtaceae,NATIVE,Evergreen,EUAM,Native Hardwoods,Indigenous,6
127,E,Eucalyptus baueriana,Blue Box,Myrtaceae,NATIVE,Evergreen,EUBA5,Native Hardwoods,Indigenous,6
128,E,Eucalyptus beyeriana,Beyer's Ironbark,Myrtaceae,NATIVE,Evergreen,EUBE1,Native Hardwoods,Indigenous,6
129,E,Eucalyptus bosistoana,Coast Grey Box,Myrtaceae,NATIVE,Evergreen,EUBO1,Native Hardwoods,Indigenous,6
130,E,Eucalyptus botryoides,Southern Mahogany,Myrtaceae,NATIVE,Evergreen,EUBO,Native Hardwoods,Indigenous,6
131,E,Eucalyptus camaldulensis,River Red Gum,Myrtaceae,NATIVE,Evergreen,EUCA1,Native Hardwoods,Climate Suited,6
132,E,Eucalyptus cinerea,Argyle Apple,Myrtaceae,NATIVE,Evergreen,EUCI,Native Hardwoods,Cimate Unsuited,4
133,E,Eucalyptus cladocalyx,Sugar gum,Myrtaceae,NATIVE,Evergreen,EUCL,Native Hardwoods,Cimate Unsuited,4
134,E,Eucalyptus consideniana,Yertchuk,Myrtaceae,NATIVE,Evergreen,EUCO6,Native Hardwoods,-,0
135,E,Eucalyptus crebra,Narrow leaved Ironbark,Myrtaceae,NATIVE,Evergreen,EUCR,Native Hardwoods,Indigenous,6
136,E,Eucalyptus deanei,Dean's White Gum,Myrtaceae,NATIVE,Evergreen,EUDE2,Native Hardwoods,-,0
137,E,Eucalyptus elata,River peppermint,Myrtaceae,NATIVE,Evergreen,EUEL,Native Hardwoods,Cimate Unsuited,4
138,E,Eucalyptus eugenioides,Thin-leaved stringy bark,Myrtaceae,NATIVE,Evergreen,EUEU1,Native Hardwoods,Indigenous,6
139,E,Eucalyptus fibrosa,Broad-leaved ironbark,Myrtaceae,NATIVE,Evergreen,EUFI,Native Hardwoods,Indigenous,6
140,E,Eucalyptus ficifolia (grafted stock),Dwarf Red Flowering Gum,Myrtaceae,NATIVE,Evergreen,EUFI81,Native Hardwoods,-,0
141,E,Eucalyptus globoidea,White stringbark,Myrtaceae,NATIVE,Evergreen,EUGL2,Native Hardwoods,Indigenous,6
142,E,Eucalyptus globulus subsp. Bicostata,Southern Blue Gum,Myrtaceae,NATIVE,Evergreen,EUGOBI,Native Hardwoods,-,0
143,E,Eucalyptus globulus subsp. Globulus,Tasmanian blue gum,Myrtaceae,NATIVE,Evergreen,EUGL,Native Hardwoods,Cimate Unsuited,4
144,E,Eucalyptus globulus subsp. Maidenii,Maiden's gum,Myrtaceae,NATIVE,Evergreen,EUGOMA,Native Hardwoods,-,0
145,E,Eucalyptus grandis,Flooded Gum,Myrtaceae,NATIVE,Evergreen,EUGR,Native Hardwoods,-,0
146,E,Eucalyptus haemastoma,Scribbly gum,Myrtaceae,NATIVE,Evergreen,EUHA,Native Hardwoods,Indigenous,6
147,E,Eucalyptus leucoxylon,White Ironbark,Myrtaceae,NATIVE,Evergreen,EULE,Native Hardwoods,Cimate Unsuited,4
148,E,Eucalyptus leucoxylon ssp. megalocarpa,Large-fruited Yellow Gum,Myrtaceae,NATIVE,Evergreen,EULEME,Native Hardwoods,-,0
149,E,Eucalyptus longifolia,Woollybutt,Myrtaceae,NATIVE,Evergreen,EULO,Native Hardwoods,Indigenous,6
150,E,Eucalyptus mannifera,Brittle Gum,Myrtaceae,NATIVE,Evergreen,EUMA7,Native Hardwoods,Cimate Unsuited,4
151,E,Eucalyptus melliodora,Yellow Box,Myrtaceae,NATIVE,Evergreen,EUME,Native Hardwoods,Cimate Unsuited,4
152,E,Eucalyptus microcorys,Tallowood,Myrtaceae,NATIVE,Evergreen,EUMI,Native Hardwoods,Climate Suited,6
153,E,Eucalyptus moluccana,Grey box,Myrtaceae,NATIVE,Evergreen,EUMO1,Native Hardwoods,Indigenous,6
154,E,Eucalyptus muelleriana,Yellow Stringybark,Myrtaceae,NATIVE,Evergreen,EUMU2,Native Hardwoods,-,0
155,E,Eucalyptus nicholii,Willow peppermint,Myrtaceae,NATIVE,Evergreen,EUNI,Native Hardwoods,Cimate Unsuited,4
156,E,Eucalyptus paniculata,Grey Ironbark,Myrtaceae,NATIVE,Evergreen,EUPA,Native Hardwoods,Indigenous,6
157,E,Eucalyptus parramattensis,Parramatta Red Gum,Myrtaceae,NATIVE,Evergreen,EUPA1,Native Hardwoods,Indigenous,6
158,E,Eucalyptus pilularis,Blackbutt,Myrtaceae,NATIVE,Evergreen,EUPI,Native Hardwoods,Indigenous,6
159,E,Eucalyptus piperita,Sydney peppermint,Myrtaceae,NATIVE,Evergreen,EUPI2,Native Hardwoods,Indigenous,6
160,E,Eucalyptus prava,Orange Gum,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
161,E,Eucalyptus punctata,Gray gum,Myrtaceae,NATIVE,Evergreen,EUPU1,Native Hardwoods,Indigenous,6
162,E,Eucalyptus racemosa,Scribbly Gum,Myrtaceae,NATIVE,Evergreen,EURARA1,Native Hardwoods,Indigenous,6
163,E,Eucalyptus radiata,Narrow-leaved peppermint,Myrtaceae,NATIVE,Evergreen,EURA,Native Hardwoods,Cimate Unsuited,4
164,E,Eucalyptus resinifera,Red mahogany,Myrtaceae,NATIVE,Evergreen,EURE2,Native Hardwoods,Indigenous,6
165,E,Eucalyptus robusta,Swamp mahogany,Myrtaceae,NATIVE,Evergreen,EURO,Native Hardwoods,Indigenous,6
166,E,Eucalyptus saligna,Blue gum,Myrtaceae,NATIVE,Evergreen,EUSA,Native Hardwoods,Indigenous,6
167,E,Eucalyptus saligna x botryoides,Eucalyptus saligna x botryoides Intergrades,Myrtaceae,NATIVE,Evergreen,EUSABO,Native Hardwoods,Indigenous,6
168,E,Eucalyptus scoparia,Willow gum,Myrtaceae,NATIVE,Evergreen,EUSC,Native Hardwoods,Cimate Unsuited,4
169,E,Eucalyptus siderophloia,Grey Ironbark,Myrtaceae,NATIVE,Evergreen,EUSI3,Native Hardwoods,Indigenous,6
170,E,Eucalyptus sideroxylon,Red Ironbark (Mugga),Myrtaceae,NATIVE,Evergreen,EUSI,Native Hardwoods,Indigenous,4
171,E,Eucalyptus sieberi,Silver Top Ash,Myrtaceae,NATIVE,Evergreen,EUSI1,Native Hardwoods,-,0
172,E,Eucalyptus sp.,Gum Tree,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
173,E,Eucalyptus squamosa,Scaly Bark,Myrtaceae,NATIVE,Evergreen,EUSQ,Native Hardwoods,-,0
174,E,Eucalyptus tereticornis,Forest redgum,Myrtaceae,NATIVE,Evergreen,EUTE,Native Hardwoods,Indigenous,6
