MTMZCode,Asset_ID,NF_ID,Named_Faci,Address,Ownership,Parent_Nam,WardName,SUBURB_NAM,Parenttype,SimpleCode,x,y,Tree_zone,_id
WaldRo-1657-Bb,RDS098430,NFI001657,Waldron Road,Waldron Road Chester Hill,CBC,Waldron Road,BASS HILL,CHESTER HILL,RDS,B,151.0007799,-33.88304482,57,b5bb3945-acb1-46ce-8dca-06a09b92ea1f
GillLa-3970-Ab,RDS534310,NFI003970,Gillies Lane,Gillies Lane Lakemba,CBC,Gillies Lane,ROSELANDS,LAKEMBA,RDS,A,151.0786114,-33.92122346,108,bdaea827-b404-48c0-858a-ad17cb58d9f4
FrosLa-2952-Ab,RDS098330,NFI002952,Frost Lane,Frost Lane Chester Hill,CBC,Frost Lane,BASS HILL,CHESTER HILL,RDS,A,151.0032923,-33.88299416,57,c440b38c-b1b8-4d52-854c-d6aa65597dd1
CampHi-1771-Ab,RDS017210,NFI001771,Campbell Hill Road,Campbell Hill Road Chester Hill,CBC,Campbell Hill Road,BASS HILL,CHESTER HILL,RDS,A,150.9975329,-33.88284527,57,c5478847-9ccf-4a77-bb76-d695688c97fb
WaldRo-4917-Bb,RDS098420,NFI004917,Waldron Road,Waldron Road Chester Hill,CBC,Waldron Road,BASS HILL,CHESTER HILL,RDS,B,150.9985457,-33.88273745,57,c7805354-ae43-4ad3-9bde-1d91be00b2d3
LeicSt-1660-Ab,RDS056710,NFI001660,Leicester Street,Leicester Street Chester Hill,CBC,Leicester Street,BASS HILL,CHESTER HILL,RDS,A,151.0012652,-33.88190896,57,c809bc66-ca22-4ec1-809d-b20c0a630e6c
HomeSt-4518-Ab,RDS549265,NFI004518,Homer Street,Homer Street Earlwood,CBC,Homer Street,CANTERBURY,EARLWOOD,RDS,A,151.1248747,-33.92707202,144,cd675534-3e88-4d63-a57b-204042d02352
CharPl-1659-Bb,RDS152410,NFI001659,Charles Place,Charles Place Chester Hill,CBC,Charles Place,BASS HILL,CHESTER HILL,RDS,B,151.0009631,-33.8828728,57,dad2b71a-b5bd-4d10-89bb-84716c8dca99
GillLa-3970-Bb,RDS534310,NFI003970,Gillies Lane,Gillies Lane Lakemba,CBC,Gillies Lane,ROSELANDS,LAKEMBA,RDS,B,151.0786789,-33.92127811,108,e8dbc57a-70d2-4ade-bd8b-3fbb533d3e30
JoyAv-4668-Bb,RDS600910,NFI004668,Joy Avenue,Joy Avenue Earlwood,CBC,Joy Avenue,CANTERBURY,EARLWOOD,RDS,B,151.125102,-33.92721405,144,ead14a0e-2db6-406e-bb57-c48a2af63ae8
