objectid,mb_code_2021,change_flag_2021,sa2_name_2021,Suburb_Name
4006,10044810000,0,Panania (North) - Milperra,Milperra
4007,10044820000,0,Panania (North) - Milperra,Milperra
4008,10044830000,0,Panania (North) - Milperra,East Hills
4009,10044840000,0,Panania (North) - Milperra,Milperra
4010,10044850000,0,Panania (North) - Milperra,Milperra
4011,10044860000,0,Panania (North) - Milperra,Panania
4012,10044870000,0,Panania (North) - Milperra,Panania
4013,10044881000,0,Panania (South) - Picnic Point,Picnic Point
4014,10044882000,0,Panania (South) - Picnic Point,Picnic Point
4015,10044890000,0,Panania (South) - Picnic Point,Panania
4016,10044900000,0,Panania (North) - Milperra,Panania
4017,10044910000,0,Panania (South) - Picnic Point,Panania
4018,10044920000,0,Panania (North) - Milperra,Panania
4019,10044930000,0,Panania (South) - Picnic Point,Panania
4020,10044940000,0,Panania (North) - Milperra,Panania
4021,10044950000,0,Panania (South) - Picnic Point,Panania
4022,10044960000,0,Panania (North) - Milperra,Panania
4023,10044970000,0,Panania (South) - Picnic Point,Panania
4024,10044980000,0,Panania (North) - Milperra,Panania
4025,10044990000,0,Panania (North) - Milperra,Panania
4026,10045000000,0,Panania (North) - Milperra,Panania
4027,10045010000,0,Panania (North) - Milperra,Panania
4028,10045020000,0,Panania (North) - Milperra,Panania
4029,10045030000,0,Panania (North) - Milperra,Panania
4030,10045040000,0,Panania (South) - Picnic Point,Panania
4031,10045050000,0,Panania (North) - Milperra,Panania
4032,10045060000,0,Panania (North) - Milperra,Panania
4033,10045070000,0,Panania (North) - Milperra,Panania
4034,10045080000,0,Panania (South) - Picnic Point,Picnic Point
4035,10045090000,0,Panania (North) - Milperra,Panania
4036,10045100000,0,Panania (South) - Picnic Point,Panania
4037,10045110000,0,Revesby,Revesby
4038,10045120000,0,Revesby,Revesby
4039,10045140000,0,Revesby,Revesby
4040,10045150000,0,Revesby,Revesby
4041,10045160000,0,Panania (South) - Picnic Point,Panania
4042,10045170000,0,Revesby,Revesby
4043,10045180000,0,Revesby,Revesby
4044,10045190000,0,Revesby,Revesby
4045,10045200000,0,Revesby,Revesby Heights
4046,10045210000,0,Revesby,Revesby
4047,10045220000,0,Revesby,Revesby
4048,10045230000,0,Revesby,Revesby Heights
4049,10045240000,0,Revesby,Revesby
4051,10045260000,0,Padstow,Padstow
4052,10045270000,0,Padstow,Padstow
4053,10045280000,0,Padstow,Padstow
4054,10045290000,0,Padstow,Padstow
4055,10045300000,0,Padstow,Padstow
4056,10045310000,0,Padstow,Padstow
4057,10045320000,0,Padstow,Padstow Heights
4058,10045330000,0,Padstow,Padstow
4059,10045340000,0,Padstow,Padstow
4060,10045350000,0,Padstow,Padstow
4061,10045360000,0,Padstow,Padstow
4062,10045370000,0,Padstow,Padstow
4063,10045380000,0,Padstow,Padstow
4064,10045390000,0,Padstow,Padstow
4065,10045400000,0,Padstow,Padstow Heights
4067,10045420000,0,Panania (North) - Milperra,East Hills
4068,10045430000,0,Panania (South) - Picnic Point,Panania
4069,10045440000,0,Panania (South) - Picnic Point,Panania
4070,10045450000,0,Padstow,Padstow Heights
4071,10045460000,0,Padstow,Padstow Heights
4072,10045470000,0,Padstow,Padstow Heights
4073,10045480000,0,Padstow,Padstow
4077,10045520000,0,Revesby,Revesby
4078,10045530000,0,Revesby,Revesby
4079,10045540000,0,Revesby,Revesby
4080,10045550000,0,Padstow,Padstow Heights
4081,10045560000,0,Panania (North) - Milperra,Milperra
4083,10045600000,0,Panania (North) - Milperra,Milperra
4084,10045630000,0,Panania (North) - Milperra,Milperra
4085,10045640000,0,Panania (North) - Milperra,Milperra
4086,10045680000,0,Panania (North) - Milperra,Milperra
4087,10045690000,0,Panania (North) - Milperra,Milperra
4088,10045700000,0,Panania (North) - Milperra,Milperra
4089,10045710000,0,Revesby,Revesby
4090,10045721000,0,Revesby,Revesby
4091,10045740000,0,Panania (North) - Milperra,East Hills
4092,10045750000,0,Panania (North) - Milperra,Panania
4093,10045760000,0,Panania (North) - Milperra,Panania
4096,10045810000,0,Panania (North) - Milperra,Milperra
4097,10045820000,0,Panania (North) - Milperra,Milperra
4098,10045841000,0,Panania (North) - Milperra,Milperra
4099,10045842000,0,Panania (North) - Milperra,Milperra
4100,10045850000,0,Panania (North) - Milperra,Milperra
4101,10045860000,0,Panania (North) - Milperra,Milperra
4102,10045870000,0,Panania (North) - Milperra,Milperra
4103,10045880000,0,Panania (North) - Milperra,Milperra
4106,10045910000,0,Panania (North) - Milperra,Milperra
4107,10045921000,0,Panania (North) - Milperra,Milperra
4108,10045922000,0,Panania (North) - Milperra,Milperra
4109,10045930000,0,Panania (North) - Milperra,Milperra
4110,10045942000,0,Panania (North) - Milperra,Milperra
4119,10046000000,0,Condell Park,Milperra
4121,10046020000,0,Condell Park,Revesby
4125,10046050000,0,Revesby,Revesby
4126,10046070000,0,Revesby,Revesby
4127,10046080000,0,Revesby,Padstow
4128,10046090000,0,Revesby,Padstow
4129,10046100000,0,Revesby,Revesby
4130,10046110000,0,Revesby,Padstow
4131,10046120000,0,Revesby,Revesby
4132,10046130000,0,Revesby,Padstow
4133,10046160000,0,Bankstown - South,Padstow
4134,10046170000,0,Bankstown - South,Padstow
4135,10046181000,0,Bankstown - South,Padstow
4138,10046200000,0,Padstow,Padstow
4139,10046210000,0,Revesby,Revesby
4140,10046220000,0,Revesby,Revesby
4141,10046230000,0,Revesby,Revesby
4142,10046240000,0,Panania (North) - Milperra,Panania
